ID,Trough,Partition,FertModule,Substrate,Variety,Planting_material,Stand,PltingDate,Vinelength2wks,NON2,NON4,Tubwt6months,No_tub6months
1,1,A,DSRF,C+P+K,ASIEDU,Tubers,1,11/9/2020,75,9,22,53.9,1
2,1,A,DSRF,C+P+K,ASIEDU,Tubers,2,11/9/2020,64.4,7,18,8.1,1
3,1,A,DSRF,C+P+K,ASIEDU,Tubers,3,11/9/2020,13.5,3,9,16.9,2
4,1,A,DSRF,C+P+K,ASIEDU,Tubers,4,11/9/2020,40,5,12,24.9,2
5,1,A,DSRF,C+P+K,ASIEDU,Tubers,5,11/9/2020,41.5,6,12,4.1,1
6,1,A,DSRF,C+P+K,ASIEDU,Tubers,6,11/9/2020,63.7,9,19,43.9,1
7,1,A,DSRF,C+P+K,ASIEDU,Tubers,7,11/9/2020,22,4,9,18.4,1
8,1,A,DSRF,C+P+K,ASIEDU,Tubers,8,11/9/2020,71.1,9,26,73.2,3
9,1,A,DSRF,C+P+K,ASIEDU,Tubers,9,11/9/2020,7.5,4,16,27.5,1
10,1,A,DSRF,C+P+K,ASIEDU,Tubers,10,11/9/2020,28.4,6,15,27.2,1
11,1,B,DSRF,C+K,ASIEDU,Vines,1,11/9/2020,55.3,14,21,100.4,1
12,1,B,DSRF,C+K,ASIEDU,Vines,2,11/9/2020,30,5,11,116.3,1
13,1,B,DSRF,C+K,ASIEDU,Vines,3,11/9/2020,41.3,10,23,65,1
14,1,B,DSRF,C+K,ASIEDU,Vines,4,11/9/2020,47.2,10,23,35.6,1
15,1,B,DSRF,C+K,ASIEDU,Vines,5,11/9/2020,70,21,37,108.8,1
16,1,B,DSRF,C+K,ASIEDU,Vines,6,11/9/2020,19.5,5,14,42,1
17,1,B,DSRF,C+K,ASIEDU,Vines,7,11/9/2020,53.2,11,23,114.4,2
18,1,B,DSRF,C+K,ASIEDU,Vines,8,11/9/2020,11.2,6,34,81.4,1
19,1,B,DSRF,C+K,ASIEDU,Vines,9,11/9/2020,31.5,9,21,34.4,1
20,1,B,DSRF,C+K,ASIEDU,Vines,10,11/9/2020,87.3,18,45,50.8,1
21,1,C,DSRF,C+P,ASIEDU,Vines,1,11/9/2020,27,3,11,34.3,1
22,1,C,DSRF,C+P,ASIEDU,Vines,2,11/9/2020,37.3,12,22,86.2,1
23,1,C,DSRF,C+P,ASIEDU,Vines,3,11/9/2020,47.5,7,36,137.5,2
24,1,C,DSRF,C+P,ASIEDU,Vines,4,11/9/2020,50.1,6,4,10.3,1
25,1,C,DSRF,C+P,ASIEDU,Vines,5,11/9/2020,37.4,10,37,116.6,2
26,1,C,DSRF,C+P,ASIEDU,Vines,6,11/9/2020,12.1,7,23,124.3,1
27,1,C,DSRF,C+P,ASIEDU,Vines,7,11/9/2020,13.5,5,8,90.4,1
28,1,C,DSRF,C+P,ASIEDU,Vines,8,11/9/2020,41.6,12,23,50.2,1
29,1,C,DSRF,C+P,ASIEDU,Vines,9,11/9/2020,16.4,4,13,55.3,1
30,1,C,DSRF,C+P,ASIEDU,Vines,10,11/9/2020,24.2,4,14,67.7,1
31,2,A,DSRF,C+P+K,KPAMYO,Tubers,1,11/9/2020,10,6,16,3.6,2
32,2,A,DSRF,C+P+K,KPAMYO,Tubers,2,11/9/2020,18.3,4,18,3.3,2
33,2,A,DSRF,C+P+K,KPAMYO,Tubers,3,11/9/2020,13.3,9,21,114,1
34,2,A,DSRF,C+P+K,KPAMYO,Tubers,4,11/9/2020,10.5,5,11,95.7,1
35,2,A,DSRF,C+P+K,KPAMYO,Tubers,5,11/9/2020,8.5,2,3,1.6,1
36,2,A,DSRF,C+P+K,KPAMYO,Tubers,6,11/9/2020,45,6,17,60.6,2
37,2,A,DSRF,C+P+K,KPAMYO,Tubers,7,11/9/2020,11.5,7,14,4.4,1
38,2,A,DSRF,C+P+K,KPAMYO,Tubers,8,11/9/2020,17.2,6,13,8.4,1
39,2,A,DSRF,C+P+K,KPAMYO,Tubers,9,11/9/2020,17.5,6,24,17.1,2
40,2,A,DSRF,C+P+K,KPAMYO,Tubers,10,11/9/2020,9.1,3,13,61.2,1
41,2,B,DSRF,C+K,KPAMYO,Vines,1,11/9/2020,60.4,19,47,183.2,2
42,2,B,DSRF,C+K,KPAMYO,Vines,2,11/9/2020,30.9,4,5,8.7,1
43,2,B,DSRF,C+K,KPAMYO,Vines,3,11/9/2020,35.8,17,29,39.8,1
44,2,B,DSRF,C+K,KPAMYO,Vines,4,11/9/2020,18,4,6,17.3,1
45,2,B,DSRF,C+K,KPAMYO,Vines,5,11/9/2020,28,5,13,55,1
46,2,B,DSRF,C+K,KPAMYO,Vines,6,11/9/2020,33,10,17,91.5,1
47,2,B,DSRF,C+K,KPAMYO,Vines,7,11/9/2020,30,8,14,48,1
48,2,B,DSRF,C+K,KPAMYO,Vines,8,11/9/2020,16,6,11,21.7,2
49,2,B,DSRF,C+K,KPAMYO,Vines,9,11/9/2020,40,6,10,61.7,1
50,2,B,DSRF,C+K,KPAMYO,Vines,10,11/9/2020,33.1,6,15,67.8,1
51,2,C,DSRF,C+P,KPAMYO,Vines,1,11/9/2020,33,14,21,114.9,2
52,2,C,DSRF,C+P,KPAMYO,Vines,2,11/9/2020,43.7,8,28,19.4,1
53,2,C,DSRF,C+P,KPAMYO,Vines,3,11/9/2020,26,6,12,60,1
54,2,C,DSRF,C+P,KPAMYO,Vines,4,11/9/2020,16.6,8,13,40.2,2
55,2,C,DSRF,C+P,KPAMYO,Vines,5,11/9/2020,26,9,18,36.6,1
56,2,C,DSRF,C+P,KPAMYO,Vines,6,11/9/2020,30,4,26,195.8,2
57,2,C,DSRF,C+P,KPAMYO,Vines,7,11/9/2020,16.7,6,25,110.2,1
58,2,C,DSRF,C+P,KPAMYO,Vines,8,11/9/2020,31.3,6,12,44.9,1
59,2,C,DSRF,C+P,KPAMYO,Vines,9,11/9/2020,8.2,5,19,69.3,2
60,2,C,DSRF,C+P,KPAMYO,Vines,10,11/9/2020,28.6,5,16,52.8,1
61,3,A,SSSF,C+P+K,KPAMYO,Tubers,1,11/9/2020,63,9,19,32.8,2
62,3,A,SSSF,C+P+K,KPAMYO,Tubers,2,11/9/2020,26.5,10,19,0,0
63,3,A,SSSF,C+P+K,KPAMYO,Tubers,3,11/9/2020,52.2,18,32,36.5,2
64,3,A,SSSF,C+P+K,KPAMYO,Tubers,4,11/9/2020,66.7,10,12,0,0
65,3,A,SSSF,C+P+K,KPAMYO,Tubers,5,11/9/2020,7.9,4,13,3.2,1
66,3,A,SSSF,C+P+K,KPAMYO,Tubers,6,11/9/2020,42.7,18,37,9.1,1
67,3,A,SSSF,C+P+K,KPAMYO,Tubers,7,11/9/2020,19,5,8,10.2,2
68,3,A,SSSF,C+P+K,KPAMYO,Tubers,8,11/9/2020,27.3,8,9,66,1
69,3,A,SSSF,C+P+K,KPAMYO,Tubers,9,11/9/2020,65.7,9,13,0,0
70,3,A,SSSF,C+P+K,KPAMYO,Tubers,10,11/9/2020,11,5,9,0,0
71,3,B,SSSF,C+K,KPAMYO,Vines,1,11/9/2020,45,10,16,81,1
72,3,B,SSSF,C+K,KPAMYO,Vines,2,11/9/2020,37.8,11,14,30,2
73,3,B,SSSF,C+K,KPAMYO,Vines,3,11/9/2020,32.8,10,21,42.6,1
74,3,B,SSSF,C+K,KPAMYO,Vines,4,11/9/2020,45.2,12,19,66,2
75,3,B,SSSF,C+K,KPAMYO,Vines,5,11/9/2020,56.2,11,24,94,1
76,3,B,SSSF,C+K,KPAMYO,Vines,6,11/9/2020,46,9,24,48,3
77,3,B,SSSF,C+K,KPAMYO,Vines,7,11/9/2020,15,5,10,34,1
78,3,B,SSSF,C+K,KPAMYO,Vines,8,11/9/2020,31.6,5,17,31.7,1
79,3,B,SSSF,C+K,KPAMYO,Vines,9,11/9/2020,67,11,19,84,1
80,3,B,SSSF,C+K,KPAMYO,Vines,10,11/9/2020,15.5,8,8,28.8,1
81,3,C,SSSF,C+P,KPAMYO,Vines,1,11/9/2020,7.8,7,14,30.8,2
82,3,C,SSSF,C+P,KPAMYO,Vines,2,11/9/2020,59.5,11,27,89.7,2
83,3,C,SSSF,C+P,KPAMYO,Vines,3,11/9/2020,67.5,6,16,90.3,1
84,3,C,SSSF,C+P,KPAMYO,Vines,4,11/9/2020,33.1,8,24,39.4,1
85,3,C,SSSF,C+P,KPAMYO,Vines,5,11/9/2020,37,8,18,144.5,1
86,3,C,SSSF,C+P,KPAMYO,Vines,6,11/9/2020,30,9,19,60.1,1
87,3,C,SSSF,C+P,KPAMYO,Vines,7,11/9/2020,97.5,15,27,152.8,1
88,3,C,SSSF,C+P,KPAMYO,Vines,8,11/9/2020,37,5,18,35.7,1
89,3,C,SSSF,C+P,KPAMYO,Vines,9,11/9/2020,79,15,34,151.9,1
90,3,C,SSSF,C+P,KPAMYO,Vines,10,11/9/2020,8.7,4,4,25.1,1
91,4,A,SSSF,C+P+K,ASIEDU,Tubers,1,11/9/2020,37,5,11,6.6,1
92,4,A,SSSF,C+P+K,ASIEDU,Tubers,2,11/9/2020,69,10,16,7.3,1
93,4,A,SSSF,C+P+K,ASIEDU,Tubers,3,11/9/2020,26,4,11,8.5,1
94,4,A,SSSF,C+P+K,ASIEDU,Tubers,4,11/9/2020,19.9,4,8,5.5,1
95,4,A,SSSF,C+P+K,ASIEDU,Tubers,5,11/9/2020,39,5,9,5.3,1
96,4,A,SSSF,C+P+K,ASIEDU,Tubers,6,11/9/2020,48,7,12,6.4,1
97,4,A,SSSF,C+P+K,ASIEDU,Tubers,7,11/9/2020,15.5,3,7,16.7,1
98,4,A,SSSF,C+P+K,ASIEDU,Tubers,8,11/9/2020,45,7,12,2.9,1
99,4,A,SSSF,C+P+K,ASIEDU,Tubers,9,11/9/2020,60.6,8,13,29.4,1
100,4,A,SSSF,C+P+K,ASIEDU,Tubers,10,11/9/2020,65,8,16,11.5,1
101,4,B,SSSF,C+K,ASIEDU,Vines,1,11/9/2020,62,9,22,70.6,1
102,4,B,SSSF,C+K,ASIEDU,Vines,2,11/9/2020,32,5,18,72.1,1
103,4,B,SSSF,C+K,ASIEDU,Vines,3,11/9/2020,45,10,18,30.1,1
104,4,B,SSSF,C+K,ASIEDU,Vines,4,11/9/2020,26,5,16,54.4,2
105,4,B,SSSF,C+K,ASIEDU,Vines,5,11/9/2020,62,10,19,61.9,1
106,4,B,SSSF,C+K,ASIEDU,Vines,6,11/9/2020,41,7,24,66,1
107,4,B,SSSF,C+K,ASIEDU,Vines,7,11/9/2020,35,7,12,68.2,1
108,4,B,SSSF,C+K,ASIEDU,Vines,8,11/9/2020,42.6,8,10,25.9,1
109,4,B,SSSF,C+K,ASIEDU,Vines,9,11/9/2020,57,9,19,84.8,1
110,4,B,SSSF,C+K,ASIEDU,Vines,10,11/9/2020,44.4,8,16,166,3
111,4,C,SSSF,C+P,ASIEDU,Vines,1,11/9/2020,30.1,6,16,100.1,2
112,4,C,SSSF,C+P,ASIEDU,Vines,2,11/9/2020,44.4,9,31,112.2,1
113,4,C,SSSF,C+P,ASIEDU,Vines,3,11/9/2020,40.3,8,18,97,1
114,4,C,SSSF,C+P,ASIEDU,Vines,4,11/9/2020,38.6,7,19,128.7,1
115,4,C,SSSF,C+P,ASIEDU,Vines,5,11/9/2020,72,14,36,116.6,2
116,4,C,SSSF,C+P,ASIEDU,Vines,6,11/9/2020,59,10,23,72.3,1
117,4,C,SSSF,C+P,ASIEDU,Vines,7,11/9/2020,24,6,20,51.7,1
118,4,C,SSSF,C+P,ASIEDU,Vines,8,11/9/2020,35,6,16,69.4,1
119,4,C,SSSF,C+P,ASIEDU,Vines,9,11/9/2020,51.7,9,21,96.4,1
120,4,C,SSSF,C+P,ASIEDU,Vines,10,11/9/2020,27,5,13,65.7,1
121,5,A,SSRF,C+P+K,ASIEDU,Tubers,1,11/9/2020,41.6,6,14,7.3,1
122,5,A,SSRF,C+P+K,ASIEDU,Tubers,2,11/9/2020,23.3,7,12,5.2,1
123,5,A,SSRF,C+P+K,ASIEDU,Tubers,3,11/9/2020,46,7,18,4.1,1
124,5,A,SSRF,C+P+K,ASIEDU,Tubers,4,11/9/2020,63,8,16,16.6,1
125,5,A,SSRF,C+P+K,ASIEDU,Tubers,5,11/9/2020,39,8,12,5.6,1
126,5,A,SSRF,C+P+K,ASIEDU,Tubers,6,11/9/2020,41.6,7,14,30.2,1
127,5,A,SSRF,C+P+K,ASIEDU,Tubers,7,11/9/2020,39,6,14,23,1
128,5,A,SSRF,C+P+K,ASIEDU,Tubers,8,11/9/2020,18,5,12,35.9,1
129,5,A,SSRF,C+P+K,ASIEDU,Tubers,9,11/9/2020,30.8,6,12,7.4,1
130,5,A,SSRF,C+P+K,ASIEDU,Tubers,10,11/9/2020,38,6,9,6.4,1
131,5,B,SSRF,C+K,ASIEDU,Vines,1,11/9/2020,20.6,5,16,7.3,1
132,5,B,SSRF,C+K,ASIEDU,Vines,2,11/9/2020,16,4,13,48.1,1
133,5,B,SSRF,C+K,ASIEDU,Vines,3,11/9/2020,36,6,14,30.4,1
134,5,B,SSRF,C+K,ASIEDU,Vines,4,11/9/2020,30.7,6,9,10.7,1
135,5,B,SSRF,C+K,ASIEDU,Vines,5,11/9/2020,46.4,6,7,14,1
136,5,B,SSRF,C+K,ASIEDU,Vines,6,11/9/2020,31,5,20,3.7,1
137,5,B,SSRF,C+K,ASIEDU,Vines,7,11/9/2020,15.2,4,5,9.2,1
138,5,B,SSRF,C+K,ASIEDU,Vines,8,11/9/2020,18.6,4,17,67.1,2
139,5,B,SSRF,C+K,ASIEDU,Vines,9,11/9/2020,31,5,17,16.7,1
140,5,B,SSRF,C+K,ASIEDU,Vines,10,11/9/2020,28,8,21,20.4,2
141,5,C,SSRF,C+P,ASIEDU,Vines,1,11/9/2020,40,15,38,138.8,4
142,5,C,SSRF,C+P,ASIEDU,Vines,2,11/9/2020,25,7,20,89.2,1
143,5,C,SSRF,C+P,ASIEDU,Vines,3,11/9/2020,25,3,16,158.4,4
144,5,C,SSRF,C+P,ASIEDU,Vines,4,11/9/2020,38,7,29,143.4,1
145,5,C,SSRF,C+P,ASIEDU,Vines,5,11/9/2020,19,8,19,48.9,2
146,5,C,SSRF,C+P,ASIEDU,Vines,6,11/9/2020,29,6,13,46.1,1
147,5,C,SSRF,C+P,ASIEDU,Vines,7,11/9/2020,25,5,17,75.7,2
148,5,C,SSRF,C+P,ASIEDU,Vines,8,11/9/2020,13,3,11,84.6,1
149,5,C,SSRF,C+P,ASIEDU,Vines,9,11/9/2020,15.6,5,14,60.4,3
150,5,C,SSRF,C+P,ASIEDU,Vines,10,11/9/2020,13.6,3,5,14,1
151,6,A,SSRF,C+P+K,KPAMYO,Tubers,1,11/9/2020,9,3,12,8.3,2
152,6,A,SSRF,C+P+K,KPAMYO,Tubers,2,11/9/2020,22.2,8,17,12.8,1
153,6,A,SSRF,C+P+K,KPAMYO,Tubers,3,11/9/2020,24,5,16,26.9,1
154,6,A,SSRF,C+P+K,KPAMYO,Tubers,4,11/9/2020,8.8,3,6,2.8,1
155,6,A,SSRF,C+P+K,KPAMYO,Tubers,5,11/9/2020,20.8,5,7,2.8,1
156,6,A,SSRF,C+P+K,KPAMYO,Tubers,6,11/9/2020,55.5,9,16,3.6,1
157,6,A,SSRF,C+P+K,KPAMYO,Tubers,7,11/9/2020,42.7,7,11,10.6,2
158,6,A,SSRF,C+P+K,KPAMYO,Tubers,8,11/9/2020,30,5,10,22.2,2
159,6,A,SSRF,C+P+K,KPAMYO,Tubers,9,11/9/2020,18,4,13,7.7,1
160,6,A,SSRF,C+P+K,KPAMYO,Tubers,10,11/9/2020,17.7,5,10,4.9,1
161,6,B,SSRF,C+K,KPAMYO,Vines,1,11/9/2020,21.6,4,11,36.5,1
162,6,B,SSRF,C+K,KPAMYO,Vines,2,11/9/2020,17.7,3,6,27.2,1
163,6,B,SSRF,C+K,KPAMYO,Vines,3,11/9/2020,35,6,9,14.4,1
164,6,B,SSRF,C+K,KPAMYO,Vines,4,11/9/2020,53,7,20,80.2,2
165,6,B,SSRF,C+K,KPAMYO,Vines,5,11/9/2020,9.9,3,6,48,2
166,6,B,SSRF,C+K,KPAMYO,Vines,6,11/9/2020,48,10,23,83.8,1
167,6,B,SSRF,C+K,KPAMYO,Vines,7,11/9/2020,6.6,2,6,4.6,1
168,6,B,SSRF,C+K,KPAMYO,Vines,8,11/9/2020,47,7,20,156,1
169,6,B,SSRF,C+K,KPAMYO,Vines,9,11/9/2020,24,4,19,57.1,1
170,6,B,SSRF,C+K,KPAMYO,Vines,10,11/9/2020,43.3,7,15,79,1
171,6,C,SSRF,C+P,KPAMYO,Vines,1,11/9/2020,20,6,17,46.1,1
172,6,C,SSRF,C+P,KPAMYO,Vines,2,11/9/2020,27.7,6,15,145,2
173,6,C,SSRF,C+P,KPAMYO,Vines,3,11/9/2020,27,7,19,52.5,1
174,6,C,SSRF,C+P,KPAMYO,Vines,4,11/9/2020,27,4,25,116.2,2
175,6,C,SSRF,C+P,KPAMYO,Vines,5,11/9/2020,23.3,5,11,23.9,1
176,6,C,SSRF,C+P,KPAMYO,Vines,6,11/9/2020,42,9,20,78.6,1
177,6,C,SSRF,C+P,KPAMYO,Vines,7,11/9/2020,22.2,6,18,132.6,2
178,6,C,SSRF,C+P,KPAMYO,Vines,8,11/9/2020,23.3,6,14,80.5,2
179,6,C,SSRF,C+P,KPAMYO,Vines,9,11/9/2020,33.6,4,11,65.7,1
180,6,C,SSRF,C+P,KPAMYO,Vines,10,11/9/2020,44.3,6,14,131.6,1
